lambda,mu,m,n,theta,tao
0.000000,100,2,65536,152.587891,0.010000
0.000000,100,3,65527,29950643317893676266438370916221235568312320.000000,0.003333
0.000000,100,3,65528,654191934897206138003836726832908992512.000000,0.003333
0.000000,100,3,65529,14289296369981380422402843172929536.000000,0.003333
0.000000,100,3,65530,312121100609503196753417994240.000000,0.003333
0.000000,100,3,65531,6817765240980248127864832.000000,0.003333
0.000000,100,3,65532,148924991335558873088.000000,0.003333
0.000000,100,3,65533,3253117510733947.500000,0.003333
0.000000,100,3,65534,71062183276.972580,0.003333
0.000000,100,3,65535,2328494.554437,0.005000
0.000000,100,3,65536,152.587891,0.010000
0.000000,1000,1,65527,6847022590262993681542737314623083492217043550208.000000,0.001000
0.000000,1000,1,65528,44866484927216292619112389749467018558439424.000000,0.001000
0.000000,1000,1,65529,294001102431062960724856047939140714496.000000,0.001000
0.000000,1000,1,65530,1926559824120512461497700064428032.000000,0.001000
0.000000,1000,1,65531,12624746527461717352441184256.000000,0.001000
0.000000,1000,1,65532,82731226469109363376128.000000,0.001000
0.000000,1000,1,65533,542154273297367552.000000,0.001000
0.000000,1000,1,65534,3552899599199.637695,0.001000
0.000000,1000,1,65535,23283572.232395,0.001000
0.000000,1000,1,65536,152.587891,0.001000
0.000000,1000,2,65527,1752837783069684971783304558625651139722779281063936.000000,0.000500
0.000000,1000,2,65528,5742910070560359531301982134148368610738831360.000000,0.000500
0.000000,1000,2,65529,18816070555183962956146071871267912286208.000000,0.000500
0.000000,1000,2,65530,61649914370532494392500341251768320.000000,0.000500
0.000000,1000,2,65531,201995944435049701957343117312.000000,0.000500
0.000000,1000,2,65532,661849811738662054920192.000000,0.000500
0.000000,1000,2,65533,2168617093142900224.000000,0.000500
0.000000,1000,2,65534,7105799198246.682617,0.000500
0.000000,1000,2,65535,23283572.232395,0.000500
0.000000,1000,2,65536,152.587891,0.001000
0.000000,1000,3,65527,29948876809167186955962168493596511723748515781804032.000000,0.000333
0.000000,1000,3,65528,65415335022476590730617295676584349577919856640.000000,0.000333
0.000000,1000,3,65529,142884535778428251414789226593342749409280.000000,0.000333
0.000000,1000,3,65530,312102691500820715392084077864550400.000000,0.000333
0.000000,1000,3,65531,681736312468292708921660932096.000000,0.000333
0.000000,1000,3,65532,1489162076411989757788160.000000,0.000333
0.000000,1000,3,65533,3252925639714350080.000000,0.000333
0.000000,1000,3,65534,7105799198246.682617,0.000333
0.000000,1000,3,65535,23283572.232395,0.000500
0.000000,1000,3,65536,152.587891,0.001000
